"columna","abs_spearman_media_y","abs_spearman_max_y","es_membrana"
"Kappa1",0.8447,0.8828,0
"NumHeavyAtoms",0.8371,0.8823,0
"ExactMolWt",0.7826,0.8279,0
"MolWt",0.782,0.8268,0
"PMI1",0.7619,0.8108,0
"InertialShapeFactor",0.7539,0.7983,0
"TPSA",0.7539,0.7965,0
"mem_diffusion_E9_min",0.749,0.7914,1
"LabuteASA",0.7346,0.7818,0
"mem_diffusion_E9_mean",0.7238,0.7656,1
"mem_diffusion_E9_max",0.7204,0.7618,1
"PMI3",0.7116,0.7491,0
"mem_meanentropy_mean",0.7112,0.7379,1
"mem_diffusion_E9_center",0.6909,0.7275,1
"NumRings",0.6891,0.7095,0
"PMI2",0.6678,0.7119,0
"NumAtoms",0.6616,0.7084,0
"mem_meanentropy_min",0.6543,0.6973,1
"mem_free_energy_barrier",0.6344,0.6605,1
"mem_distribution_min",0.6241,0.6511,1
"RadiusOfGyration",0.6142,0.6621,0
"mem_distribution_center",0.6074,0.6369,1
"mem_distribution_max",0.5839,0.6323,1
"NumHAcceptors",0.5712,0.6301,0
"Chi1n",0.5702,0.6129,0
"Chi0n",0.5573,0.6045,0
"mem_free_energy_center",0.4998,0.5388,1
"mem_free_energy_max",0.4946,0.5359,1
"FractionCSP3",0.4753,0.4998,0
"NumHDonors",0.4463,0.4946,0
